sp,postri,family,order,q0.025,q0.05,q0.25,q0.5,q0.75,q0.95,q0.975,crosscount
Lonchura_nigriceps,-0.335419818375325,Estrildidae,PASSERIFORMES,-1.180747,-0.9942797,-0.586589,-0.3238112,-0.05716133,0.2756553,0.373451,1
Padda_oryzivora,-0.588551530538561,Estrildidae,PASSERIFORMES,-1.2575,-1.137789,-0.7740498,-0.5497644,-0.3314798,-0.03363633,0.040067055,1
Stagonopleura_guttata,0.0540535208518482,Estrildidae,PASSERIFORMES,-0.445695,-0.3661007,-0.1375087,0.05240912,0.2395452,0.5304808,0.60395195,1
Passer_hispaniolensis,-0.343948389331568,Passeridae,PASSERIFORMES,-1.1336525,-0.9902844,-0.5807552,-0.3093337,-0.01829927,0.389947,0.50492805,2
Poephila_personata,-0.395021103785215,Estrildidae,PASSERIFORMES,-1.2028355,-1.017644,-0.6352575,-0.3767931,-0.126887,0.1592193,0.2540701,1
Neochmia_phaeton,0.246410634431678,Estrildidae,PASSERIFORMES,-0.24618115,-0.1786233,0.07791422,0.2595683,0.4328342,0.7351928,0.82360875,1
Neochmia_ruficauda,-0.419936406986114,Estrildidae,PASSERIFORMES,-1.164158,-1.014856,-0.6404901,-0.4062638,-0.1625466,0.1351811,0.2500555,1
Taeniopygia_guttata,-0.0592538548017982,Estrildidae,PASSERIFORMES,-0.6289762,-0.5570366,-0.2673967,-0.04348156,0.1693999,0.4742418,0.5763468,1
Ramphocelus_icteronotus,-0.2775392588996,Thraupidae,PASSERIFORMES,-1.132016,-1.003762,-0.5618299,-0.2907746,0.005762762,0.4725147,0.5883694,1
Ramphocelus_carbo,-0.271166360054176,Thraupidae,PASSERIFORMES,-1.21513,-1.013998,-0.5467922,-0.2602628,-0.01172441,0.3704202,0.4807937,1
Fringilla_montifringilla,-0.0115197783287712,Fringillidae,PASSERIFORMES,-0.74197155,-0.6251451,-0.2642934,0.00380184,0.2619289,0.6174784,0.7227147,1
Carduelis_sinica,-0.138767423606094,Fringillidae,PASSERIFORMES,-0.58180975,-0.5082954,-0.3005268,-0.141483,0.01017397,0.2396872,0.31438235,2
Carduelis_hornemanni,-0.33744877186034,Fringillidae,PASSERIFORMES,-1.112338,-0.9728594,-0.5686242,-0.3310329,-0.08155833,0.2740347,0.44678145,1
Passerina_amoena,-0.368957895491309,Emberizidae,PASSERIFORMES,-1.1513345,-1.030646,-0.6203887,-0.365491,-0.1044498,0.2888327,0.39262875,1
Pyrrhula_pyrrhula,0.407926154223776,Fringillidae,PASSERIFORMES,-0.3702978,-0.2350759,0.1779479,0.4169575,0.6807218,1.063379,1.200652,1
Pipilo_ocai,-0.243232190655544,Emberizidae,PASSERIFORMES,-1.124733,-0.9868809,-0.5284757,-0.2824581,-0.0004810822,0.3888975,0.48875235,1
Serinus_atrogularis,-0.218899997308791,Fringillidae,PASSERIFORMES,-0.6630213,-0.6030015,-0.3594092,-0.1912578,-0.03426151,0.1776101,0.2405933,2
Serinus_dorsostriatus,-0.0663431485004995,Fringillidae,PASSERIFORMES,-0.5600575,-0.4955976,-0.2398525,-0.06538069,0.0892993,0.3608539,0.44573165,1
Serinus_gularis,0.685238884886314,Fringillidae,PASSERIFORMES,0.10089405,0.1881804,0.4805568,0.7087678,0.9210706,1.226596,1.334203,1
Serinus_serinus,-0.108738701734066,Fringillidae,PASSERIFORMES,-0.6486552,-0.5530047,-0.3069154,-0.1154373,0.05462853,0.3135232,0.4019829,1
Serinus_sulphuratus,-0.307122668686713,Fringillidae,PASSERIFORMES,-1.1612635,-0.9812704,-0.5879741,-0.3200319,-0.0928693,0.2830899,0.3957553,1
Serinus_albogularis,-0.415520707756244,Fringillidae,PASSERIFORMES,-1.206136,-1.085249,-0.6650511,-0.3807891,-0.1311523,0.2341712,0.34295645,1
Pheucticus_melanocephalus,-0.323270393255445,Cardinalidae,PASSERIFORMES,-1.137068,-0.9860031,-0.6056292,-0.3292205,-0.04574371,0.3678212,0.50443655,1
Sturnella_neglecta,0.0546355874829171,Icteridae,PASSERIFORMES,-0.593292,-0.4951826,-0.1704178,0.06615035,0.3212583,0.6567243,0.80026455,1
Sphyrapicus_ruber,-0.25902465873976,Picidae,PICIFORMES,-1.1014885,-0.9417355,-0.5171774,-0.2730721,0.0115283,0.4034988,0.5363578,1
Contopus_sordidulus,-0.420479853728871,Tyrannidae,PASSERIFORMES,-1.318457,-1.102069,-0.675493,-0.3729347,-0.09142163,0.3420903,0.41538555,1
Parus_carolinensis,-0.267489601214785,Paridae,PASSERIFORMES,-1.1175545,-0.9698202,-0.5413288,-0.2730131,-0.01616588,0.3513499,0.47256425,1
Petroica_macrocephala,-0.112393375526903,Petroicidae,PASSERIFORMES,-0.83537955,-0.729495,-0.3312576,-0.07532484,0.2053989,0.5819335,0.7215593,1
Icterus_bullockii,-0.282653710066234,Icteridae,PASSERIFORMES,-1.091914,-0.9509509,-0.5317292,-0.2501628,0.02872201,0.3652668,0.47676275,1
Ficedula_hypoleuca,0.0591616640150849,Muscicapidae,PASSERIFORMES,-0.68354225,-0.5667707,-0.1913852,0.09820351,0.3591028,0.731323,0.8309055,1
Dendroica_townsendi,-0.24647629178991,Parulidae,PASSERIFORMES,-1.0071295,-0.9072271,-0.5277753,-0.262849,0.02568932,0.3882165,0.50898475,1
Astrapia_mayeri,-0.333057890146354,Paradisaeidae,PASSERIFORMES,-1.2668705,-1.098742,-0.6172168,-0.303408,-0.008896314,0.4221499,0.55928895,1
